Pack Art,Weight (g),Width (mm),Code Color,Hit?,Hit Type
d,22.4,3.66,w,y,h
r,22.2,3.649,w,y,v
r,22.3,3.665,w,y,m
r,22.2,3.649,w,y,v
r,22.3,3.66,w,y,v
u,22.3,3.65,w,y,fa
u,22.3,3.647,w,y,h
u,22.4,3.65,w,y,h
s,22.3,3.695,g,n,0
s,22.3,3.678,g,n,0
s,22.3,3.686,g,n,0
s,22.3,3.693,g,n,0
s,22.3,3.683,w,y,g
d,22.3,3.686,g,n,0
d,22.3,3.678,g,n,0
d,22.3,3.695,g,n,0
d,22.3,3.701,g,n,0
d,22.3,3.69,g,n,0
u,22.4,3.695,g,n,0
u,22.3,3.687,g,n,0
u,22.3,3.689,g,n,0
u,22.3,3.683,g,n,0
r,22.3,3.68,g,n,0
r,22.3,3.679,g,n,0
r,22.3,3.695,g,n,0
r,22.3,3.682,g,n,0
r,22.3,3.681,g,n,0
s,22.3,3.669,g,n,0
s,22.3,3.652,w,y,rb
u,22.3,3.669,g,n,0
u,22.3,3.643,w,y,h
u,22.2,3.641,w,y,v
u,22.3,3.647,w,y,m
d,22.3,3.647,w,y,av
d,22.3,3.655,w,y,h
d,22.3,3.656,w,y,h
d,22.3,3.661,w,y,fa
d,22.3,3.657,w,y,m
r,22.4,3.653,w,y,h
r,22.3,3.646,w,y,h
r,22.2,3.658,w,y,v
r,22.3,3.66,g,n,0
s,22.3,3.667,g,n,0
d,22.3,3.635,w,y,h
r,22.3,3.684,g,n,0
s,22.4,3.674,g,n,0
s,22.4,3.659,w,y,m
d,22.4,3.686,g,n,0
r,22.4,3.688,g,n,0
s,22.4,3.675,g,n,0
